# SGH Voice compact JMdict common-word candidates
# format-version=1
# source=JMdict_b
# source-created=2026-07-26
# source-url=https://www.edrdg.org/pub/Nihongo/JMdict_b.gz
# priority-tags=gai1,ichi1,news1,spec1
# format=reading<TAB>score<TAB>candidate
あさはん	3000	朝飯
あさひ	5095	朝日
あさめし	3000	朝飯
あさゆう	2079	朝夕
あさる	3000	漁る
あざ	3000	痣
あざ	2095	字
あざける	3000	嘲る
あざむく	3000	欺く
あざやか	5093	鮮やか
あし	5099	脚
あし	5099	足
あしあと	9090	足跡
あしあと	9090	足あと
あしおと	5078	足音
あしからず	3000	悪しからず
あしがかり	2081	足掛かり
あしくび	5085	足首
あしこし	2083	足腰
あしすたんと	2000	アシスタント
あしすと	2000	アシスト
あした	5095	明日
あしどり	2086	足取り
あしなみ	2093	足並み
あしば	2087	足場
あしばや	2078	足早
あしぶみ	5083	足踏み
あしもと	5092	足下
あしもと	5092	足元
あじ	5097	味
あじ	3000	鯵
あじあ	2000	亜細亜
あじあじん	4000	アジア人
あじきない	4064	味気ない
あじけない	4064	味気ない
あじさい	4000	紫陽花
あじつけ	2081	味付け
あじと	2000	アジト
あじのもと	2077	味の素
あじわい	2088	味わい
あじわう	3073	味わう
あす	5095	明日
あすきー	2000	ＡＳＣＩＩ
あすぱらがす	2000	アスパラガス
あすふぁると	5000	アスファルト
あすぶ	3075	遊ぶ
あすべすと	2000	アスベスト
あすりーと	2000	アスリート
あすれちっく	2000	アスレチック
あずかり	2081	預かり
あずかりしょ	3000	預かり所
あずかりしょう	2080	預かり証
あずかりじょ	3000	預かり所
あずかる	5077	預かる
あずき	5076	小豆
あずけいれる	2087	預け入れる
あずける	5079	預ける
あせ	5095	汗
あせすめんと	2000	アセスメント
あせり	2086	焦り
あせる	3058	焦る
あせる	3000	褪せる
あそこ	3000	彼処
あそび	5096	遊び
あそびば	2078	遊び場
あそぶ	3075	遊ぶ
あたい	5093	値
あたいする	3071	値する
あたえる	3072	与える
あたかも	3000	恰も
あたくし	4000	私
あたし	4000	私
あたたかい	5079	暖かい
あたたかい	5079	温かい
あたたまる	5076	暖まる
あたたまる	5076	温まる
あたためる	3000	暖める
あたためる	3000	温める
あたっく	2000	アタック
あたま	3000	頭
あたまうち	2083	頭打ち
あたまきん	4068	頭金
あたらしい	5092	新しい
あたり	5093	当り
あたり	5093	当たり
あたり	5080	辺り
あたりまえ	5094	当たり前
あたりめえ	5094	当たり前
あたりめー	5094	当たり前
あたりやく	2076	当たり役
あたる	3065	当たる
あだかも	3000	恰も
あだな	7000	あだ名
あだびと	5095	他人
あだぷたー	2000	アダプター
あだると	2000	アダルト
あちこち	3000	彼方此方
あちら	3072	彼方
あちらこちら	3000	彼方此方
あぢぃ	3066	暑い
あぢい	3066	暑い
あぢー	3066	暑い
あっ	4000	アッ
あっか	5096	悪化
あっかん	2078	圧巻
あっけ	3000	呆気
あっこう	3000	悪口
あっしゅく	5089	圧縮
あっしょう	2086	圧勝
あっせん	3059	斡旋
あったかい	5079	温かい
あったかい	3000	暖かい
あったけー	5079	温かい
あったけー	3000	暖かい
あったまる	5076	温まる
あったまる	3000	暖まる
あっためる	3000	暖める
あっためる	3000	温める
あったりめー	5094	当たり前
あっち	3000	彼方
あっちこっち	4000	彼方此方
あっつあっつ	4000	熱々
あっつあつ	4000	熱々
あっつい	5086	熱い
あっつい	3066	暑い
あってない	4000	有って無い
あっと	2000	アット
あっというま	4000	あっという間
あっというまに	4000	あっという間に
あっとう	5086	圧倒
あっとうてき	2096	圧倒的
あっとゆうま	4000	あっという間
あっとゆーま	4000	あっという間
あっぱく	5085	圧迫
あっぱー	2000	アッパー
あっぶねー	3061	危ない
あっぷ	5000	アップ
あつあつ	4000	熱々
あつい	5086	熱い
あつい	3071	厚い
あつい	3066	暑い
あつかい	2096	扱い
あつかう	5087	扱う
あつかましい	3000	厚かましい
あつぎ	3000	厚着
あつさ	5092	厚さ
あつさ	5091	暑さ
あつまり	5091	集まり
あつまる	5080	集まる
あつみ	2087	厚み
あつめる	5093	集める
あつりょく	5097	圧力
あづい	3066	暑い
あて	5099	父
あて	5085	宛
あて	5085	当て
あてさき	3000	宛先
あてな	3000	宛名
あてはまる	3000	当てはまる
あてはめる	3000	当てはめる
あてる	5090	当てる
あてる	2076	充てる
あと	5099	後
あと	5097	跡
あとおし	2080	後押し
あとかたづけ	3074	後片付け
あとから	4000	後から
あとがき	3054	後書
あとがき	3054	後書き
あとしまつ	5080	後始末
あとぴー	2000	アトピー
あとまわし	5078	後回し
あとむ	2000	アトム
あともどり	3075	後戻り
あとらくしょん	2000	アトラクション
あとらす	4000	アトラス
あとりえ	2000	アトリエ
あど	2000	アド
あどばいざー	2000	アドバイザー
あどばいす	5000	アドバイス
あどばんてーじ	2000	アドバンテージ
あどべんちゃー	2000	アドベンチャー
あどりぶ	2000	アドリブ
あどれす	2000	アドレス
あどれなりん	2000	アドレナリン
あな	5096	穴
あな	2000	アナ
あない	5093	案内
あなうめ	2084	穴埋め
あなうんさー	5000	アナウンサー
あなうんす	2000	アナウンス
あながち	3000	強ち
あなた	3072	彼方
あなた	3000	貴方
あなたがた	4000	あなた方
あなどる	3000	侮る
あなりすと	2000	アナリスト
あなろぐ	2000	アナログ
あに	5095	兄
あにき	2076	兄貴
あにさん	3075	兄さん
あにまる	2000	アニマル
あにめ	2000	アニメ
あにめーしょん	2000	アニメーション
あね	5093	姉
あねさん	3075	姉さん
あねったい	4072	亜熱帯
あの	4000	彼の
あのかた	4000	あの方
あのひと	4000	あの人
あのよ	3000	あの世
あはれ	3066	哀れ
あばうと	2000	アバウト
あばれる	5077	暴れる
あぱーと	5000	アパート
あひる	4000	アヒル
あびせる	5078	浴びせる
あびる	5091	浴びる
あぴーる	5000	アピール
あふぃりえいと	4000	アフィリエイト
あふたぬーん	2000	アフタヌーン
あふたー	2000	アフター
あふりか	4000	阿弗利加
あふれる	3000	溢れる
あぶく	5087	泡
あぶない	3061	危ない
あぶねー	3061	危ない
あぶら	5096	油
あぶら	5085	脂
あぶらえ	5083	油絵
あぷり	2000	アプリ
あぷりけーしょん	2000	アプリケーション
あぷろーち	2000	アプローチ
あべっく	3000	アベック
あべにゅー	2000	アベニュー
あほ	4000	アホ
あほ	3000	阿呆
あほう	3000	阿呆
あま	2000	アマ
あまい	5081	甘い
あまえ	2081	甘え
あまえる	3063	甘える
あまくだり	2090	天下り
あまぐ	3054	雨具
あます	3064	余す
あまだれ	3000	雨垂れ
あまちゅあ	5000	アマチュア
あまど	3065	雨戸
あまのかわ	3000	天の川
あまのかわ	3000	天の河
あまのがわ	3000	天の川
あまのがわ	3000	天の河
あまみ	5078	甘み
あまみ	5078	甘味
あまみず	2086	雨水
あまもり	3066	雨漏り
あまやかす	3056	甘やかす
あまやどり	3000	雨宿り
あまり	5085	余り
あまりに	2087	余りに
あまる	5084	余る
あみ	5090	網
あみだ	4074	阿弥陀
あみど	4068	網戸
あみのさん	4000	アミノ酸
あみもの	3073	編物
あみもの	3073	編み物
あみゅーずめんと	2000	アミューズメント
あむ	3059	編む
あめ	5098	雨
あめ	3056	飴
あめがふる	4000	雨が降る
あめだす	2000	ＡＭｅＤＡＳ
あめつち	2083	天地
あめふと	2000	アメフト
あめふり	3053	雨降り
あめりか	4000	亜米利加
あめりかがっしゅうこく	4000	アメリカ合衆国
あめりかじん	4000	アメリカ人
あめりかん	2000	アメリカン
あめーば	2000	アメーバ
あやうい	5086	危うい
