# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄇㄥˋ	夢:129
ㄇㄧ	眯:64|瞇:64
ㄇㄧˇ	米:784
ㄇㄧˊ	迷:150|彌:25
ㄇㄧˋ	密:481|秘:154|蜜:110|泌:23
ㄇㄧㄝˋ	滅:328|衊:12
ㄇㄧㄠˇ	秒:104|渺:16
ㄇㄧㄠˊ	苗:71|描:56|瞄:13
ㄇㄧㄠˋ	妙:81|廟:55
ㄇㄧㄡˋ	謬:26
ㄇㄧㄢˇ	免:193|勉:37
ㄇㄧㄢˊ	棉:392|眠:48|綿:18
ㄇㄧㄢˋ	麵:3227
ㄇㄧㄣˇ	敏:60|抿:14
ㄇㄧㄣˊ	民:4675
ㄇㄧㄥˊ	明:1887|名:767|鳴:66
ㄇㄧㄥˋ	命:2703
ㄇㄨˇ	母:700|畝:107|姆:16|牡:11
ㄇㄨˋ	目:814|木:415|幕:137|牧:84|慕:24|墓:23|穆:10
ㄇㄨ˙	拇:11
ㄈㄚ	發:4834
ㄈㄚˇ	法:2090
ㄈㄚˊ	乏:103|伐:52|閥:48|罰:26
ㄈㄟ	飛:943|非:688|啡:9
ㄈㄟˇ	匪:118
ㄈㄟˊ	肥:162
ㄈㄟˋ	費:305|廢:111|肺:52|沸:25
ㄈㄡˇ	否:230
ㄈㄢ	翻:369|番:84|帆:22
ㄈㄢˇ	反:2114|返:48
ㄈㄢˊ	凡:135|繁:129|煩:63
ㄈㄢˋ	飯:557|犯:250|範:201|泛:144|販:14
ㄈㄣ	分:2405|紛:148|吩:48|氛:28
ㄈㄣˇ	粉:211
ㄈㄣˊ	墳:46
ㄈㄣˋ	奮:281|憤:159|份:147|忿:97|糞:36
ㄈㄤ	方:2781
ㄈㄤˇ	仿:273|紡:178|訪:73
ㄈㄤˊ	房:708|防:375|妨:22|肪:10
ㄈㄤˋ	放:2045
ㄈㄤ˙	坊:11
ㄈㄥ	風:1185|封:400|豐:264|瘋:131|蜂:96|峰:94|鋒:71
ㄈㄥˇ	諷:14
ㄈㄥˊ	逢:53
ㄈㄥˋ	縫:77|奉:25|鳳:16
ㄈㄨ	膚:87|孵:21|敷:21
ㄈㄨˇ	府:432|腐:87|斧:43|輔:31|俯:22|撫:13
ㄈㄨˊ	服:555|佛:252|福:199|浮:148|幅:122|伏:100|符:84|扶:67|俘:31|輻:31|蝠:15|鳧:12
ㄈㄨˋ	復:558|複:558|父:516|負:322|婦:321|富:314|副:313|附:148|付:83|縛:34|覆:27|腹:24|赴:12
ㄈㄨ˙	夫:396|傅:201|咐:72|袱:42|甫:12
ㄉㄚ	搭:85|耷:12
ㄉㄚˇ	打:2250
ㄉㄚˊ	達:557|答:457
ㄉㄚˋ	大:11596
ㄉㄚ˙	瘩:17
ㄉㄜˊ	德:97
ㄉㄜ˙	的:75596|地:7394|得:5096
ㄉㄞ	呆:136
ㄉㄞˇ	逮:20
ㄉㄞˋ	代:1881|帶:1348|待:342|袋:179|戴:137
ㄉㄠ	刀:284
ㄉㄠˇ	導:1403|島:190|搗:23|蹈:9
ㄉㄠˋ	到:10331|道:2324|倒:530|稻:92|盜:52|悼:11
ㄉㄡ	都:5680|兜:43
ㄉㄡˇ	抖:118|陡:31|蚪:10
ㄉㄡˋ	鬥:1360|豆:127|逗:77
ㄉㄢ	單:603|擔:297|耽:33|丹:31
ㄉㄢˇ	膽:107
ㄉㄢˋ	但:2345|彈:313|蛋:168|淡:111|誕:40|旦:36|氮:13
ㄉㄤ	噹:2483|當:2483
ㄉㄤˇ	黨:2652|擋:83
ㄉㄤˋ	盪:67|蕩:67|檔:23
ㄉㄤ˙	鐺:16
ㄉㄥ	燈:483|登:150|蹬:39
ㄉㄥˇ	等:2469
ㄉㄥˋ	凳:87|瞪:77
ㄉㄧ	低:664|滴:99|堤:55
ㄉㄧˇ	底:788|抵:104
ㄉㄧˊ	敵:1320|滌:25|嘀:14|笛:11
ㄉㄧˋ	第:1765|帝:606|弟:248|遞:83|締:12
ㄉㄧㄝ	爹:91|跌:47
ㄉㄧㄝˊ	疊:39|蝶:35|碟:15
ㄉㄧㄠ	雕:38|叼:16
ㄉㄧㄠˋ	掉:471|調:390|釣:72|吊:59
ㄉㄧㄡ	丟:144
ㄉㄧㄢ	顛:49|甸:28
ㄉㄧㄢˇ	點:3816|典:98|踮:9
ㄉㄧㄢˋ	電:1775|店:300|殿:40|澱:30|奠:26|墊:24|佃:12|惦:11
ㄉㄧㄥ	盯:65|釘:59|叮:38|丁:16
ㄉㄧㄥˇ	頂:445
ㄉㄧㄥˋ	定:2655|訂:126|錠:13
ㄉㄨ	督:53
ㄉㄨˇ	堵:78|賭:10
ㄉㄨˊ	讀:432|獨:264|毒:188
ㄉㄨˋ	度:1505|渡:176|肚:171|鍍:18|杜:16
ㄉㄨㄛ	多:5568|哆:30
ㄉㄨㄛˇ	躲:124
ㄉㄨㄛˊ	奪:197|踱:37
ㄉㄨㄛˋ	跺:19
ㄉㄨㄛ˙	朵:123
ㄉㄨㄟ	堆:233
ㄉㄨㄟˋ	對:5013|隊:1474
ㄉㄨㄢ	端:259
ㄉㄨㄢˇ	短:318
ㄉㄨㄢˋ	斷:681|段:531|鍛:88|緞:9
ㄉㄨㄣ	噸:157|蹲:107|墩:36
ㄉㄨㄣˋ	盾:279|頓:204
ㄉㄨㄥ	東:1601|鼕:272
ㄉㄨㄥˇ	懂:377
ㄉㄨㄥˋ	動:5030|洞:237|凍:133
ㄊㄚ	他:16038|她:4477|它:2984|塌:32
ㄊㄚˇ	塔:49
ㄊㄚˋ	踏:122|蹋:13
ㄊㄜˋ	特:1099
ㄊㄞ	胎:38
ㄊㄞˊ	檯:530|抬:305
ㄊㄞˋ	太:1379|態:381|汰:9
ㄊㄠ	掏:106|濤:21|滔:20
ㄊㄠˇ	討:278
ㄊㄠˊ	逃:164|桃:59|萄:49|淘:33|陶:23
ㄊㄠˋ	套:227
ㄊㄡ	偷:204
ㄊㄡˊ	頭:3058|投:264
ㄊㄡˋ	透:316
ㄊㄢ	攤:72|灘:62|貪:30
ㄊㄢˇ	坦:77|毯:29
ㄊㄢˊ	談:693|潭:29|痰:11
ㄊㄢˋ	嘆:153|探:152|炭:73|碳:55
ㄊㄤ	湯:40
ㄊㄤˇ	躺:198|倘:45|淌:22
ㄊㄤˊ	堂:180|糖:97|塘:81|膛:29|搪:14
ㄊㄤˋ	趟:89|燙:30
ㄊㄥˊ	疼:127|騰:91|藤:14
ㄊㄧ	踢:50|梯:40|剔:12
ㄊㄧˇ	體:1746
